iter	Passed	Remaining
409	3821	5498
410	3828	5487
411	3837	5477
412	3846	5466
413	3854	5455
414	3862	5445
415	3872	5435
416	3881	5426
417	3889	5416
418	3897	5404
419	3905	5392
420	3912	5381
421	3921	5370
422	3929	5360
423	3937	5349
424	3946	5339
425	3955	5329
426	3963	5319
427	3972	5308
428	3981	5298
429	3988	5287
430	3996	5275
431	4004	5264
432	4012	5253
433	4020	5243
434	4028	5232
435	4036	5221
436	4043	5209
437	4051	5197
438	4058	5186
439	4066	5175
440	4074	5164
441	4082	5154
442	4091	5144
443	4099	5133
444	4107	5123
445	4115	5112
446	4123	5101
447	4130	5089
448	4139	5079
449	4147	5068
450	4155	5058
451	4162	5047
452	4170	5036
453	4178	5024
454	4185	5013
455	4192	5001
456	4200	4991
457	4207	4979
458	4215	4968
459	4223	4958
460	4231	4947
461	4238	4935
462	4247	4925
463	4255	4916
464	4265	4907
465	4274	4898
466	4283	4889
467	4292	4879
468	4301	4869
469	4310	4860
470	4319	4851
471	4329	4843
472	4338	4834
473	4346	4823
474	4355	4814
475	4365	4805
476	4374	4795
477	4382	4786
478	4391	4777
479	4400	4767
480	4409	4757
481	4418	4748
482	4428	4739
483	4436	4729
484	4445	4720
485	4455	4711
486	4464	4702
487	4473	4693
488	4483	4684
489	4491	4674
490	4499	4664
491	4508	4655
492	4517	4645
493	4525	4635
494	4534	4625
495	4543	4616
496	4551	4606
497	4560	4597
498	4569	4587
499	4578	4578
500	4586	4568
501	4594	4558
502	4603	4548
503	4612	4539
504	4621	4530
505	4631	4521
506	4640	4511
507	4648	4502
508	4657	4492
509	4666	4483
510	4674	4473
511	4683	4464
512	4693	4455
513	4702	4446
514	4713	4438
515	4722	4429
516	4729	4418
517	4737	4408
518	4744	4397
519	4752	4386
520	4759	4376
521	4767	4365
522	4774	4354
523	4781	4343
524	4788	4332
525	4796	4321
526	4803	4311
527	4810	4300
528	4817	4289
529	4825	4279
530	4833	4269
531	4841	4258
532	4848	4248
533	4856	4238
534	4863	4227
535	4870	4216
536	4878	4205
537	4885	4195
538	4893	4185
539	4900	4174
540	4908	4164
541	4915	4153
542	4922	4143
543	4930	4132
544	4938	4122
545	4945	4112
546	4952	4101
547	4960	4091
548	4967	4080
549	4974	4070
550	4982	4060
551	4989	4049
552	4997	4039
553	5004	4029
554	5012	4019
555	5019	4008
556	5027	3998
557	5034	3988
558	5042	3977
559	5049	3967
560	5056	3956
561	5063	3946
562	5071	3936
563	5079	3926
564	5086	3915
565	5093	3905
566	5101	3895
567	5110	3886
568	5118	3876
569	5125	3866
570	5133	3856
571	5141	3846
572	5149	3837
573	5157	3827
574	5166	3818
575	5174	3808
576	5181	3798
577	5189	3788
578	5197	3779
579	5205	3769
580	5212	3759
581	5219	3749
582	5227	3739
583	5235	3729
584	5242	3719
585	5250	3709
586	5257	3699
587	5265	3689
588	5272	3679
589	5280	3669
590	5287	3659
591	5294	3649
592	5302	3639
593	5309	3629
594	5317	3619
595	5324	3609
596	5332	3599
597	5340	3589
598	5347	3579
599	5355	3570
600	5362	3560
601	5370	3550
